"","Other","Alcoholic.Beverages","Sugar","Oils","Meat","Dairy.Eggs","Fruit.Vegetables","Starchy.Roots","Pulses","Cereals.Grains"
"Albania",33,73,197,322,345,579,372,78,50,1144
"Austria",37,243,436,1045,416,326,261,110,7,887
"Belarus",68,214,307,620,438,237,193,336,0,837
"Belgium",34,171,496,988,313,428,203,172,23,905
"Bosnia and Herzegovina",131,232,178,228,180,300,271,139,68,1427
"Bulgaria",42,191,271,489,242,292,130,48,22,1102
"Croatia",93,159,401,531,329,349,198,75,7,917
"Cyprus",97,95,312,532,358,263,153,53,30,756
"Czechia",60,253,389,786,306,323,125,135,18,861
"Denmark",101,164,483,621,441,392,197,109,10,849
"Estonia",111,396,268,289,276,459,174,154,82,1044
"Finland",83,164,304,437,599,545,158,119,11,948
"France",54,130,374,758,527,392,175,95,17,960
"Georgia",67,66,337,256,141,277,96,103,0,1562
"Germany",33,255,469,801,390,378,179,115,7,872
"Greece",65,100,279,800,328,418,285,133,45,947
"Hungary",38,183,343,804,314,265,131,84,29,846
"Iceland",120,131,434,457,710,573,196,54,7,698
"Ireland",48,305,395,551,439,393,211,154,31,1073
"Italy",30,101,308,875,415,324,261,66,52,1147
"Latvia",94,184,371,595,321,314,140,214,0,941
"Lithuania",36,287,407,363,485,340,128,174,31,1166
"Luxembourg",190,306,320,401,634,424,236,93,11,924
"Malta",95,118,548,438,401,356,219,76,37,1090
"Moldova",41,108,208,431,208,370,142,99,8,1099
"Montenegro",143,83,330,323,495,558,301,218,65,975
"Netherlands",22,133,428,526,461,514,254,169,16,705
"North Macedonia",87,53,375,608,179,228,264,106,45,1004
"Norway",181,119,314,679,500,381,189,98,45,979
"Poland",18,184,430,583,410,278,146,191,17,1194
"Portugal",70,214,257,747,461,286,254,124,36,1028
"Romania",60,159,244,419,219,481,219,180,18,1359
"Russia",36,165,439,482,372,328,162,207,17,1153
"Serbia",73,164,270,226,355,264,209,73,56,1038
"Slovakia",54,151,428,606,239,242,110,93,12,1009
"Slovenia",104,133,234,590,295,319,204,98,19,1172
"Spain",44,158,302,797,458,293,174,105,48,795
"Sweden",45,140,413,651,416,444,174,104,17,775
"Switzerland",32,171,582,734,477,438,194,75,17,671
"Ukraine",22,162,430,438,270,305,188,249,14,1060
"United Kingdom",93,153,394,609,476,384,212,181,32,890
